year,activity,employment,output
2017,MFG_food_hi,16034,10531293393
2017,MFG_food_li,16168,10531293393
2017,MFG_htec_hi,2936,15831234913
2017,MFG_htec_li,2695,15831234913
2017,MFG_hvtw_hi,19793,12729608652
2017,MFG_hvtw_li,19963,12729608652
2017,MFG_lvtw_hi,12342,12116997891
2017,MFG_offc_off,130460,0
2017,MFG_wdppr_hi,21377,10411029672
2017,RES_agmin_ag,70029,8985799492
2017,RES_forst_log,7301,1056890635
2017,RES_offc_off,45196,0
2017,RET_auto_ret,71495,6239396424
2017,RET_nstor_off,34524,3476475914
2017,RET_stor_off,44916,0
2017,RET_stor_ret,181002,14099655562
2017,SERV_bus_off,149354,18469264841
2017,SERV_home_xxx,24050,266251702
2017,SERV_nonp_off_inst,98609,5346393188
2017,SERV_site_li,71140,5015468372
2017,SERV_stor_ret,74937,3056815343
2017,SERV_tech_off,218496,29331528230
2017,TRNS_trns_off,36742,0
2017,TRNS_trns_ware,53991,13169869509
2017,UTL_othr_off,13539,0
2017,UTL_othr_off_li,16324,7943169692
2017,WHSL_offc_off,22710,0
2017,WHSL_whsl_ware,70666,17377741460
2018,CNST_main_xxx,26422,5294492382
2018,CNST_nres_xxx,27618,4620913620
2018,CNST_offc_off,61657,0
2018,CNST_othr_xxx,33113,5695773253
2018,CNST_res_xxx,32157,8757390336
2018,ENGY_elec_hi,3831,10369712531
2018,ENGY_ngas_hi,577,902555474
2018,ENGY_offc_off,19719,0
2018,ENGY_ptrl_hi,7296,4223292878
2018,ENT_ent_ret,73539,4080669151
2018,FIRE_fnin_off,115779,24143629845
2018,FIRE_real_off,126130,23750855769
2018,GOV_admn_gov,57268,13064609085
2018,GOV_offc_off,91371,0
2018,HIED_hied_off_inst,54923,2636063106
2018,HLTH_care_inst,69735,3851688206
2018,HLTH_hosp_hosp,78304,11741054742
2018,HLTH_othr_off_li,145592,16424435767
2018,HOSP_acc_acc,24979,2191702406
2018,HOSP_eat_ret_acc,222031,12177863713
2018,INFO_info_off,40610,0
2018,INFO_info_off_li,8296,16160527198
2018,K12_k12_k12,122286,11702966803
2018,K12_k12_off,40850,0
2018,MFG_food_hi,16504,10915192836
2018,MFG_food_li,16641,10915192836
2018,MFG_htec_hi,3007,14043337902
2018,MFG_htec_li,2760,14043337902
2018,MFG_hvtw_hi,20320,13201490629
2018,MFG_hvtw_li,20495,13201490629
2018,MFG_lvtw_hi,12661,12643014564
2018,MFG_offc_off,133759,0
2018,MFG_wdppr_hi,21652,10514376738
2018,RES_agmin_ag,70816,8566601542
2018,RES_forst_log,7383,1045649823
2018,RES_offc_off,45703,0
2018,RET_auto_ret,72109,6477806381
2018,RET_nstor_off,34695,3635322568
2018,RET_stor_off,45138,0
2018,RET_stor_ret,181895,14752673487
2018,SERV_bus_off,153801,18969279343
2018,SERV_home_xxx,24335,273461726
2018,SERV_nonp_off_inst,103799,5665261060
2018,SERV_site_li,72918,5130274879
2018,SERV_stor_ret,77884,3208222359
2018,SERV_tech_off,225000,30460952656
2018,TRNS_trns_off,37855,0
2018,TRNS_trns_ware,55627,13609775883
2018,UTL_othr_off,13685,0
2018,UTL_othr_off_li,16499,8125414469
2018,WHSL_offc_off,23069,0
2018,WHSL_whsl_ware,71784,17940910390
2019,CNST_main_xxx,27906,5658036170
2019,CNST_nres_xxx,29170,4925977462
2019,CNST_offc_off,65120,0
2019,CNST_othr_xxx,34973,6071797265
2019,CNST_res_xxx,33963,9422033292
2019,ENGY_elec_hi,3979,11425873547
2019,ENGY_ngas_hi,622,1021715756
2019,ENGY_offc_off,20098,0
2019,ENGY_ptrl_hi,7351,4342858341
2019,ENT_ent_ret,74456,4218944135
2019,FIRE_fnin_off,117631,24681741042
2019,FIRE_real_off,128148,24262996098
2019,GOV_admn_gov,58402,13593785304
2019,GOV_offc_off,93179,0
2019,HIED_hied_off_inst,54938,2717406067
2019,HLTH_care_inst,70676,3951986137
2019,HLTH_hosp_hosp,79361,12046791719
2019,HLTH_othr_off_li,147557,16852127949
2019,HOSP_acc_acc,25290,2260783315
2019,HOSP_eat_ret_acc,224798,12561701355
2019,INFO_info_off,41587,0
2019,INFO_info_off_li,8495,17058865555
2019,K12_k12_k12,123461,12177716664
2019,K12_k12_off,41241,0
2019,MFG_food_hi,16052,10621937028
2019,MFG_food_li,16186,10621937028
2019,MFG_htec_hi,3052,12802632330
2019,MFG_htec_li,2801,12802632330
2019,MFG_hvtw_hi,20954,14047851774
2019,MFG_hvtw_li,21134,14047851774
2019,MFG_lvtw_hi,13421,13765038616
2019,MFG_offc_off,136210,0
2019,MFG_wdppr_hi,21829,10834331478
2019,RES_agmin_ag,70539,8298502124
2019,RES_forst_log,7354,1026507016
2019,RES_offc_off,45524,0
2019,RET_auto_ret,72229,6719613361
2019,RET_nstor_off,34486,3684372272
2019,RET_stor_off,44866,0
2019,RET_stor_ret,180800,14992114729
2019,SERV_bus_off,155792,18792320604
2019,SERV_home_xxx,24573,286067135
2019,SERV_nonp_off_inst,105002,5866834691
2019,SERV_site_li,73819,5200705727
2019,SERV_stor_ret,78765,3321690565
2019,SERV_tech_off,227914,30846073396
2019,TRNS_trns_off,40479,0
2019,TRNS_trns_ware,59482,14921577997
2019,UTL_othr_off,13841,0
2019,UTL_othr_off_li,16688,8382358599
2019,WHSL_offc_off,23442,0
2019,WHSL_whsl_ware,72943,18524781386
2020,CNST_main_xxx,28433,5737497578
2020,CNST_nres_xxx,29720,4979112084
2020,CNST_offc_off,66349,0
2020,CNST_othr_xxx,35633,6137291403
2020,CNST_res_xxx,34604,9637440232
2020,ENGY_elec_hi,4027,12234892882
2020,ENGY_ngas_hi,648,1116397997
2020,ENGY_offc_off,20230,0
2020,ENGY_ptrl_hi,7364,4448333968
2020,ENT_ent_ret,72700,4223772031
2020,FIRE_fnin_off,118224,25028806679
2020,FIRE_real_off,128794,24592078050
2020,GOV_admn_gov,58307,13609866301
2020,GOV_offc_off,93028,0
2020,HIED_hied_off_inst,53956,2766169312
2020,HLTH_care_inst,70175,3996502919
2020,HLTH_hosp_hosp,78799,12182491689
2020,HLTH_othr_off_li,146511,17041957185
2020,HOSP_acc_acc,24693,2248472196
2020,HOSP_eat_ret_acc,219497,12493296482
2020,INFO_info_off,42275,0
2020,INFO_info_off_li,8636,17817378920
2020,K12_k12_k12,121951,12468304789
2020,K12_k12_off,40736,0
2020,MFG_food_hi,15853,10579894141
2020,MFG_food_li,15985,10579894141
2020,MFG_htec_hi,3108,12318153001
2020,MFG_htec_li,2852,12318153001
2020,MFG_hvtw_hi,20524,13951344166
2020,MFG_hvtw_li,20701,13951344166
2020,MFG_lvtw_hi,13145,13567921898
2020,MFG_offc_off,135084,0
2020,MFG_wdppr_hi,21780,10559547531
2020,RES_agmin_ag,68294,7970251057
2020,RES_forst_log,7120,993361244
2020,RES_offc_off,44076,0
2020,RET_auto_ret,71848,6859638659
2020,RET_nstor_off,34510,3760320898
2020,RET_stor_off,44898,0
2020,RET_stor_ret,180928,15315286921
2020,SERV_bus_off,157688,19142565910
2020,SERV_home_xxx,24241,291377462
2020,SERV_nonp_off_inst,103909,5942657522
2020,SERV_site_li,74233,5254634265
2020,SERV_stor_ret,77939,3367529791
2020,SERV_tech_off,230686,31085905461
2020,TRNS_trns_off,41871,0
2020,TRNS_trns_ware,61528,15912571885
2020,UTL_othr_off,13721,0
2020,UTL_othr_off_li,16543,8551997123
2020,WHSL_offc_off,23602,0
2020,WHSL_whsl_ware,73441,19026952931
2021,CNST_main_xxx,28959,5727105355
2021,CNST_nres_xxx,30270,4939158164
2021,CNST_offc_off,67577,0
2021,CNST_othr_xxx,36293,6088043898
2021,CNST_res_xxx,35244,9780165482
2021,ENGY_elec_hi,4075,13052046691
2021,ENGY_ngas_hi,673,1213883171
2021,ENGY_offc_off,20363,0
2021,ENGY_ptrl_hi,7378,4550800667
2021,ENT_ent_ret,70945,4216104342
2021,FIRE_fnin_off,118816,25559591810
2021,FIRE_real_off,129440,25070095359
2021,GOV_admn_gov,58212,13889343890
2021,GOV_offc_off,92877,0
2021,HIED_hied_off_inst,52973,2818610452
2021,HLTH_care_inst,69674,4038154637
2021,HLTH_hosp_hosp,78236,12309458117
2021,HLTH_othr_off_li,145465,17219569161
2021,HOSP_acc_acc,24097,2227207853
2021,HOSP_eat_ret_acc,214197,12375144366
2021,INFO_info_off,42962,0
2021,INFO_info_off_li,8776,18476403059
2021,K12_k12_k12,120441,12780803541
2021,K12_k12_off,40231,0
2021,MFG_food_hi,15653,10519866724
2021,MFG_food_li,15784,10519866724
2021,MFG_htec_hi,3163,12762520389
2021,MFG_htec_li,2902,12762520389
2021,MFG_hvtw_hi,20095,13939109532
2021,MFG_hvtw_li,20268,13939109532
2021,MFG_lvtw_hi,12870,13467694119
2021,MFG_offc_off,133958,0
2021,MFG_wdppr_hi,21731,10222403036
2021,RES_agmin_ag,66049,7673654618
2021,RES_forst_log,6886,971161784
2021,RES_offc_off,42627,0
2021,RET_auto_ret,71467,7040836332
2021,RET_nstor_off,34535,3858258637
2021,RET_stor_off,44930,0
2021,RET_stor_ret,181056,15716162254
2021,SERV_bus_off,159583,19723302919
2021,SERV_home_xxx,23908,295200724
2021,SERV_nonp_off_inst,102816,5991790632
2021,SERV_site_li,74646,5304875933
2021,SERV_stor_ret,77112,3402172751
2021,SERV_tech_off,233459,31637285282
2021,TRNS_trns_off,43263,0
2021,TRNS_trns_ware,63573,16894183309
2021,UTL_othr_off,13600,0
2021,UTL_othr_off_li,16398,8716771281
2021,WHSL_offc_off,23762,0
2021,WHSL_whsl_ware,73940,19516544286
2022,CNST_main_xxx,29486,5767590739
2022,CNST_nres_xxx,30821,4943490202
2022,CNST_offc_off,68806,0
2022,CNST_othr_xxx,36952,6093383601
2022,CNST_res_xxx,35885,10007660685
